artist,title,album,spotify_link,filename
"Romy, HAAi",Love Who You Love - HAAi Remix,Love Who You Love (HAAi Remix),https://open.spotify.com/track/4aXSQkxNhKZfLCUzDnLcC0,"Romy, HAAi [Love Who You Love HAAi Remix] Love Who You Love - HAAi Remix.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Arya,the mind settles,the mind settles,https://open.spotify.com/track/22AlUIiOcagoDzTsbXqFks,Arya [the mind settles] the mind settles.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
DJ Henrix,Noche De Amor,Noche De Amor,https://open.spotify.com/track/6NWbAg55cLW2NoZ891XWSY,DJ Henrix [Noche De Amor] Noche De Amor.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Fabbro,Find me,Find me,https://open.spotify.com/track/5UyKA27p36nYcMJGpAV34i,Fabbro [Find me] Find me.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Grand Corps Malade, Camille Lellouche",Mais je t'aime,MESDAMES deluxe,https://open.spotify.com/track/17NQyo1HsqDX7mbzsTWMuX,"Grand Corps Malade, Camille Lellouche [MESDAMES deluxe] Mais je t'aime.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Jocelyn Pook,Masked Ball - 1999 Extended Mix,Flood,https://open.spotify.com/track/2P9g8PWaeRkyAzvjfIEEKU,Jocelyn Pook [Flood] Masked Ball - 1999 Extended Mix.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Jocelyn Pook,The Wife,The Wife (Original Motion Picture Soundtrack),https://open.spotify.com/track/57WYNt9Vm74UZij6QFj3j5,Jocelyn Pook [The Wife Original Motion Picture Soundtrack] The Wife.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Natacha Atlas, Jocelyn Pook, Lalon Shah, Melanie Pappenheim, Sohini Alam, Jeremy Schonfield, Tanja Tzarovska, Leesa Gazi, Labik Kamal, Sophie Harris, Dragan Aleksic, Bulgarian Orchestra",Desh: Hallelujah,Pook: Desh,https://open.spotify.com/track/50xchn4XUBu6HVIEfoTMnE,"Natacha Atlas, Jocelyn Pook +10 [Pook Desh] Desh Hallelujah.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Jocelyn Pook,Ave Maria,Untold Things,https://open.spotify.com/track/5LzMRi9JjnhOCN8HCRi0bJ,Jocelyn Pook [Untold Things] Ave Maria.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Lorenz Dangel,Kiss of Life,TIDES,https://open.spotify.com/track/1Ak3pzRgeE2NPW66q37Qs5,Lorenz Dangel [TIDES] Kiss of Life.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
The Divine,Project Hail Mary | Main Theme - Epic Version,Project Hail Mary | Main Theme (Epic Version),https://open.spotify.com/track/0aYXWIY7pdXeWqrJNnEjWP,The Divine [Project Hail Mary Main Theme Epic Version] Project Hail Mary Main Theme - Epic Version.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Tony K, Reem",Home,Home,https://open.spotify.com/track/4J0vdLyqgLs2CgjFHo5oO6,"Tony K, Reem [Home] Home.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
RAYE,Fly Me to the Moon,Fly Me to the Moon,https://open.spotify.com/track/4krtOcIVPlUICseg29Nnet,RAYE [Fly Me to the Moon] Fly Me to the Moon.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Daniel Pemberton,"Ryland Grace, Cognition Assessment",Project Hail Mary,https://open.spotify.com/track/5jIgkhFUl6c6htlj1iCGcj,"Daniel Pemberton [Project Hail Mary] Ryland Grace, Cognition Assessment.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
veneris,Devils Caprice,Devils Caprice,https://open.spotify.com/track/46loJbfrzbImfs9HMptdwW,veneris [Devils Caprice] Devils Caprice.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"RAYE, Hans Zimmer",Click Clack Symphony.,Click Clack Symphony. (feat. Hans Zimmer),https://open.spotify.com/track/5PspYmmQ8nKESNTcBY2LlX,"RAYE, Hans Zimmer [Click Clack Symphony. feat. Hans Zimmer] Click Clack Symphony.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Ajeet,Soften,Soften,https://open.spotify.com/track/0FeIoHCbYT0Kwkyr4JLHdR,Ajeet [Soften] Soften.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Martin Roth,Java,Ambient House,https://open.spotify.com/track/459WC2QJMxxbovMemQzWJv,Martin Roth [Ambient House] Java.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Leblanc,Troublemaker,No Mercy,https://open.spotify.com/track/5eNxZaSmcV31JzWtTqXYlO,Leblanc [No Mercy] Troublemaker.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
The Kiffness,Mango Pineapple Banana (Watermelon),Mango Pineapple Banana (Watermelon),https://open.spotify.com/track/4xTEIAwizczzdp5ETEWwXq,The Kiffness [Mango Pineapple Banana Watermelon] Mango Pineapple Banana Watermelon.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"HAAi, Skin On Skin, Fred again.., BEAM",the floor - HAAi remix,USB,https://open.spotify.com/track/2peREcwX4nIWXy4KmVXadS,"HAAi, Skin On Skin +2 [USB] the floor - HAAi remix.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
La Zarra,Johny,Johny,https://open.spotify.com/track/5sZZUvtTtDP0r3wJSR4CSP,La Zarra [Johny] Johny.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Alewya, eejebee, Vraell",City of Symbols,City of Symbols,https://open.spotify.com/track/1JAXKQ9M0xWhwk7l1y7MHQ,"Alewya, eejebee +1 [City of Symbols] City of Symbols.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Mario Pelchat, Anne Sila",Je pense encore à toi,Duos de mes 60 ans,https://open.spotify.com/track/0S9oH9hF6izRJIqytPLVZG,"Mario Pelchat, Anne Sila [Duos de mes 60 ans] Je pense encore a toi.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Peter Ries,Fading Day,Quiet Pages,https://open.spotify.com/track/5j0OqwGL55Uqs8XViOUg1W,Peter Ries [Quiet Pages] Fading Day.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Austin Farwell,Venus and Flower,Venus and Flower,https://open.spotify.com/track/6QrkTCHubOKfyBek1P0mMx,Austin Farwell [Venus and Flower] Venus and Flower.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Daniel Pemberton,Humanity,Project Hail Mary,https://open.spotify.com/track/3IrbUItr7Mr46vwvDSO2xB,Daniel Pemberton [Project Hail Mary] Humanity.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Daniel Pemberton,Top Secret Clearance,Project Hail Mary,https://open.spotify.com/track/1NgAFF75a8kkHLXqpW8FLr,Daniel Pemberton [Project Hail Mary] Top Secret Clearance.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Daniel Pemberton,You Were Loved (Burial),Project Hail Mary,https://open.spotify.com/track/2osj7VDcwgOx2jJnmfybSj,Daniel Pemberton [Project Hail Mary] You Were Loved Burial.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Hildur Guðnadóttir,Fólk fær andlit,Le Chant des forêts,https://open.spotify.com/track/0FjEYfCq5qZfFdXjp1dLod,Hildur Gudnadottir [Le Chant des forets] Folk faer andlit.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,Présences invisibles,Le Chant des forêts,https://open.spotify.com/track/1Ej993KZjTE7yRsauu3OsI,Vincent Munier [Le Chant des forets] Presences invisibles.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,Comme un mirage,Le Chant des forêts,https://open.spotify.com/track/2BQI671CgyUGDaiMPJGZHB,Vincent Munier [Le Chant des forets] Comme un mirage.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Warren Ellis,Forest Fog,Le Chant des forêts,https://open.spotify.com/track/39NXDZCjQbCWwz2badudUQ,Warren Ellis [Le Chant des forets] Forest Fog.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Warren Ellis,Des petits cœurs qui battent,Le Chant des forêts,https://open.spotify.com/track/4xuF6LQcF6xHpBiLjopNsz,Warren Ellis [Le Chant des forets] Des petits coeurs qui battent.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,La forêt qui chante,Le Chant des forêts,https://open.spotify.com/track/5tjUr4aMX56WmYxgNUVong,Vincent Munier [Le Chant des forets] La foret qui chante.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Alice Baldwin,Was am Ende,Le Chant des forêts,https://open.spotify.com/track/2XUNtGZZp9urGc7dKEScul,Alice Baldwin [Le Chant des forets] Was am Ende.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,La nuit du cerf,Le Chant des forêts,https://open.spotify.com/track/76DCAgnpJ45kxlNwewgrtX,Vincent Munier [Le Chant des forets] La nuit du cerf.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Warren Ellis,Deer,Le Chant des forêts,https://open.spotify.com/track/3b1pRPk5JvBzwZPGTpkKgq,Warren Ellis [Le Chant des forets] Deer.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,Les arbres écoutent les oiseaux,Le Chant des forêts,https://open.spotify.com/track/3TTYTcZBTUgQvPnEtqek7S,Vincent Munier [Le Chant des forets] Les arbres ecoutent les oiseaux.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Warren Ellis,Lynx,Le Chant des forêts,https://open.spotify.com/track/0QrwsOaoCpUO2ziLi6lUiM,Warren Ellis [Le Chant des forets] Lynx.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,Notre panthère de la foret,Le Chant des forêts,https://open.spotify.com/track/2Him9lZKAXwE07J3zZKYDz,Vincent Munier [Le Chant des forets] Notre panthere de la foret.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Warren Ellis,Fog Blanket,Le Chant des forêts,https://open.spotify.com/track/3vvELEfwKtCZgYDSxEJyGr,Warren Ellis [Le Chant des forets] Fog Blanket.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Birds on a Wire, Dom La Nena, Rosemary Standley",Lux Permanet,Le Chant des forêts,https://open.spotify.com/track/6koooSHzpZIqRxYUqevRbK,"Birds on a Wire, Dom La Nena +1 [Le Chant des forets] Lux Permanet.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,Norvège,Le Chant des forêts,https://open.spotify.com/track/5X0S4qVuF19bSXauSa6zBX,Vincent Munier [Le Chant des forets] Norvege.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Warren Ellis,Photo capercaille,Le Chant des forêts,https://open.spotify.com/track/4eoOLMnTlYLrKqXc2QcSV7,Warren Ellis [Le Chant des forets] Photo capercaille.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Vincent Munier,Les plongeons,Le Chant des forêts,https://open.spotify.com/track/4LavGrgmoULmgESsvQyBvI,Vincent Munier [Le Chant des forets] Les plongeons.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Warren Ellis,On est dans ce qui s'en va,Le Chant des forêts,https://open.spotify.com/track/59HTV29WNtBiNpivWAV75R,Warren Ellis [Le Chant des forets] On est dans ce qui s'en va.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Birds on a Wire, Dom La Nena, Rosemary Standley",Who Knows Where the Times Goes?,Le Chant des forêts,https://open.spotify.com/track/75zwtfElkF9Q4x6XxL1sni,"Birds on a Wire, Dom La Nena +1 [Le Chant des forets] Who Knows Where the Times Goes.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Daniel Pemberton,God Willing,Project Hail Mary,https://open.spotify.com/track/4baBHSngjlLlWYkS1S27eS,Daniel Pemberton [Project Hail Mary] God Willing.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Daniel Pemberton,Time Go Fishing,Project Hail Mary,https://open.spotify.com/track/6odjHeBKXP6fvV9v0QRUOw,Daniel Pemberton [Project Hail Mary] Time Go Fishing.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
Daniel Pemberton,Rocky Sacrifice,Project Hail Mary,https://open.spotify.com/track/0IwWN0uBSIrW6WK06RLD4E,Daniel Pemberton [Project Hail Mary] Rocky Sacrifice.mp3
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Sevdaliza, Villano Antillano, Tokischa","Ride or Die, Pt. 2",HEROINA,https://open.spotify.com/track/4NiSSIrUefyxvwYEEH1CQK,"Sevdaliza, Villano Antillano +1 [HEROINA] Ride or Die, Pt. 2.mp3"
silence-10s,silence-10s,local,https://open.spotify.com/local///silence-10s/10,silence-10s [local] silence-10s.mp3
"Feid, Young Miko",CLASSY 101,FERXXOCALIPSIS,https://open.spotify.com/track/1hZsWUnLbqRw09jLAMQSsb,"Feid, Young Miko [FERXXOCALIPSIS] CLASSY 101.mp3"
